cuenta,valor,ano,mes,entidad
Gastos por financiamientos con entidades de intermediación financiera,-18328365.87,2022,2,"ALPHA SOCIEDAD DE VALORES, S.A."
Gastos por arrendamientos,0,2022,2,"ALPHA SOCIEDAD DE VALORES, S.A."
Total gastos financieros,-44635900.06,2022,2,"ALPHA SOCIEDAD DE VALORES, S.A."
Gastos de administración y comercialización,-83799639.12,2022,2,"ALPHA SOCIEDAD DE VALORES, S.A."
Reajuste y diferencia de cambio,-41731890.92,2022,2,"ALPHA SOCIEDAD DE VALORES, S.A."
Resultado de inversiones en sociedades,0,2022,2,"ALPHA SOCIEDAD DE VALORES, S.A."
Otros ingresos (gastos),3738360.13,2022,2,"ALPHA SOCIEDAD DE VALORES, S.A."
Operaciones descontinuadas (neto),0,2022,2,"ALPHA SOCIEDAD DE VALORES, S.A."
Total otros resultados,-37993530.79,2022,2,"ALPHA SOCIEDAD DE VALORES, S.A."
Resultado antes de impuesto a la renta,35010251.57,2022,2,"ALPHA SOCIEDAD DE VALORES, S.A."
Impuesto sobre la renta,0,2022,2,"ALPHA SOCIEDAD DE VALORES, S.A."
UTILIDAD DEL EJERCICIO,35010251.57,2022,2,"ALPHA SOCIEDAD DE VALORES, S.A."
Efectivo y equivalente de efectivo,628276527.3,2022,2,"BHD PUESTO DE BOLSA, S.A. "
Inversiones en instrumentos financieros,3819822496,2022,2,"BHD PUESTO DE BOLSA, S.A. "
A valor razonable con cambios en resultados,3687461409,2022,2,"BHD PUESTO DE BOLSA, S.A. "
A valor razonable Instrumentos Financieros Derivados,19677221.71,2022,2,"BHD PUESTO DE BOLSA, S.A. "
A valor razonable con cambios en ORI,0,2022,2,"BHD PUESTO DE BOLSA, S.A. "
A costo amortizado,112683865.5,2022,2,"BHD PUESTO DE BOLSA, S.A. "
Operaciones de compra al contado con venta a plazos,0,2022,2,"BHD PUESTO DE BOLSA, S.A. "
Cuentas por cobrar en operaciones de cartera propia,0,2022,2,"BHD PUESTO DE BOLSA, S.A. "
Deudores por intermediación,0,2022,2,"BHD PUESTO DE BOLSA, S.A. "
Cuentas por cobrar relacionadas,121033.91,2022,2,"BHD PUESTO DE BOLSA, S.A. "
Otras cuentas por cobrar,3750876.25,2022,2,"BHD PUESTO DE BOLSA, S.A. "
Impuestos pagados por anticipado,17985682.49,2022,2,"BHD PUESTO DE BOLSA, S.A. "
Impuestos diferidos,0,2022,2,"BHD PUESTO DE BOLSA, S.A. "
Inversiones en sociedades,3424080,2022,2,"BHD PUESTO DE BOLSA, S.A. "
Activos intangibles,2726027.92,2022,2,"BHD PUESTO DE BOLSA, S.A. "
"Propiedad, planta y equipo",2348362.57,2022,2,"BHD PUESTO DE BOLSA, S.A. "
Derecho de uso,0,2022,2,"BHD PUESTO DE BOLSA, S.A. "
Propiedades de Inversión,0,2022,2,"BHD PUESTO DE BOLSA, S.A. "
Otros activos,155692.71,2022,2,"BHD PUESTO DE BOLSA, S.A. "
TOTAL DE ACTIVOS,4478610779,2022,2,"BHD PUESTO DE BOLSA, S.A. "
Pasivos financieros,11013218.24,2022,2,"BHD PUESTO DE BOLSA, S.A. "
A valor razonable,1249938.31,2022,2,"BHD PUESTO DE BOLSA, S.A. "
A valor razonable-instrumento financieros derivados,9763279.93,2022,2,"BHD PUESTO DE BOLSA, S.A. "
A costo amortizado,0,2022,2,"BHD PUESTO DE BOLSA, S.A. "
Obligaciones por financiamiento,0,2022,2,"BHD PUESTO DE BOLSA, S.A. "
Obligaciones por instrumentos financieros Emitidos,0,2022,2,"BHD PUESTO DE BOLSA, S.A. "
Obligaciones con entidades de intermediación financiera,0,2022,2,"BHD PUESTO DE BOLSA, S.A. "
Operaciones de venta al contado con compra a plazo,3163102739,2022,2,"BHD PUESTO DE BOLSA, S.A. "
Acreedores por intermediación,293189016.1,2022,2,"BHD PUESTO DE BOLSA, S.A. "
Cuentas por pagar relacionadas,36076668.2,2022,2,"BHD PUESTO DE BOLSA, S.A. "
Otras cuentas por pagar,4819272.63,2022,2,"BHD PUESTO DE BOLSA, S.A. "
Provisiones,0,2022,2,"BHD PUESTO DE BOLSA, S.A. "
Acumulaciones y otras obligaciones,33425025.69,2022,2,"BHD PUESTO DE BOLSA, S.A. "
Arrendamientos,0,2022,2,"BHD PUESTO DE BOLSA, S.A. "
Impuesto por pagar,7626799.13,2022,2,"BHD PUESTO DE BOLSA, S.A. "
Impuesto diferidos,0,2022,2,"BHD PUESTO DE BOLSA, S.A. "
Otros pasivos,0,2022,2,"BHD PUESTO DE BOLSA, S.A. "
TOTAL DE PASIVOS,3549252739,2022,2,"BHD PUESTO DE BOLSA, S.A. "
Capital,188772500,2022,2,"BHD PUESTO DE BOLSA, S.A. "
Aportes para futura capitalización,39431560.54,2022,2,"BHD PUESTO DE BOLSA, S.A. "
Acciones en Tesorería,0,2022,2,"BHD PUESTO DE BOLSA, S.A. "
Reserva legal,37754500,2022,2,"BHD PUESTO DE BOLSA, S.A. "
Reservas de capital,0,2022,2,"BHD PUESTO DE BOLSA, S.A. "
Resultados acumulados,608006242.3,2022,2,"BHD PUESTO DE BOLSA, S.A. "
Resultados del ejercicio,55393236.81,2022,2,"BHD PUESTO DE BOLSA, S.A. "
Superávit por revaluación,0,2022,2,"BHD PUESTO DE BOLSA, S.A. "
Otro resultado integral,0,2022,2,"BHD PUESTO DE BOLSA, S.A. "
TOTAL DE PATRIMONIO,929358039.7,2022,2,"BHD PUESTO DE BOLSA, S.A. "
TOTAL DE PASIVOS Y PATRIMONIO,4478610779,2022,2,"BHD PUESTO DE BOLSA, S.A. "
A valor razonable,107130533.5,2022,2,"BHD PUESTO DE BOLSA, S.A. "
A valor razonable - Instrumentos financieros derivados,38264195.48,2022,2,"BHD PUESTO DE BOLSA, S.A. "
A costo amortizado,-22525402.45,2022,2,"BHD PUESTO DE BOLSA, S.A. "
Total resultados por instrumentos financieros,122869326.5,2022,2,"BHD PUESTO DE BOLSA, S.A. "
Ingresos por administración de cartera,0,2022,2,"BHD PUESTO DE BOLSA, S.A. "
Ingresos por custodia de valores,2500,2022,2,"BHD PUESTO DE BOLSA, S.A. "
Ingresos por asesorías financieras,0,2022,2,"BHD PUESTO DE BOLSA, S.A. "
Otros ingresos por servicios,0,2022,2,"BHD PUESTO DE BOLSA, S.A. "
Total ingresos por servicios,2500,2022,2,"BHD PUESTO DE BOLSA, S.A. "
Comisiones por operaciones bursátiles y extrabursátiles,953065.02,2022,2,"BHD PUESTO DE BOLSA, S.A. "
Gastos por comisiones y servicios,-8390294.97,2022,2,"BHD PUESTO DE BOLSA, S.A. "
Otras comisiones,0,2022,2,"BHD PUESTO DE BOLSA, S.A. "
Total resultados por intermediación,-7437229.95,2022,2,"BHD PUESTO DE BOLSA, S.A. "
Gastos por financiamientos por Instrumentos financieros emitidos,0,2022,2,"BHD PUESTO DE BOLSA, S.A. "
Gastos por financiamientos con entidades de intermediación financiera,-8588.36,2022,2,"BHD PUESTO DE BOLSA, S.A. "
Gastos por arrendamientos,0,2022,2,"BHD PUESTO DE BOLSA, S.A. "
Total gastos financieros,-8588.36,2022,2,"BHD PUESTO DE BOLSA, S.A. "
Gastos de administración y comercialización,-46408475.41,2022,2,"BHD PUESTO DE BOLSA, S.A. "
Reajuste y diferencia de cambio,-6126132.72,2022,2,"BHD PUESTO DE BOLSA, S.A. "
Resultado de inversiones en sociedades,0,2022,2,"BHD PUESTO DE BOLSA, S.A. "
Otros ingresos (gastos),10799.38,2022,2,"BHD PUESTO DE BOLSA, S.A. "
Operaciones descontinuadas (neto),0,2022,2,"BHD PUESTO DE BOLSA, S.A. "
Total otros resultados,-6115333.34,2022,2,"BHD PUESTO DE BOLSA, S.A. "
Resultado antes de impuesto a la renta,62902199.45,2022,2,"BHD PUESTO DE BOLSA, S.A. "
Impuesto sobre la renta,7508962.64,2022,2,"BHD PUESTO DE BOLSA, S.A. "
UTILIDAD DEL EJERCICIO,55393236.81,2022,2,"BHD PUESTO DE BOLSA, S.A. "
Efectivo y equivalente de efectivo,818138229.2,2022,2,"CCI PUESTO DE BOLSA, S.A."
Inversiones en instrumentos financieros,4853054700,2022,2,"CCI PUESTO DE BOLSA, S.A."
A valor razonable con cambios en resultados,3536947584,2022,2,"CCI PUESTO DE BOLSA, S.A."
A valor razonable Instrumentos Financieros Derivados,9818417.07,2022,2,"CCI PUESTO DE BOLSA, S.A."
A valor razonable con cambios en ORI,0,2022,2,"CCI PUESTO DE BOLSA, S.A."
A costo amortizado,1306288698,2022,2,"CCI PUESTO DE BOLSA, S.A."
Operaciones de compra al contado con venta a plazos,334194530.6,2022,2,"CCI PUESTO DE BOLSA, S.A."
Cuentas por cobrar en operaciones de cartera propia,0,2022,2,"CCI PUESTO DE BOLSA, S.A."
Deudores por intermediación,0,2022,2,"CCI PUESTO DE BOLSA, S.A."
Cuentas por cobrar relacionadas,0,2022,2,"CCI PUESTO DE BOLSA, S.A."
Otras cuentas por cobrar,11575781.55,2022,2,"CCI PUESTO DE BOLSA, S.A."
Impuestos pagados por anticipado,19381429.16,2022,2,"CCI PUESTO DE BOLSA, S.A."
Impuestos diferidos,0,2022,2,"CCI PUESTO DE BOLSA, S.A."
Inversiones en sociedades,2000564.22,2022,2,"CCI PUESTO DE BOLSA, S.A."
Activos intangibles,3630851.33,2022,2,"CCI PUESTO DE BOLSA, S.A."
"Propiedad, planta y equipo",63414338.29,2022,2,"CCI PUESTO DE BOLSA, S.A."
Derecho de uso,0,2022,2,"CCI PUESTO DE BOLSA, S.A."
Propiedades de Inversión,0,2022,2,"CCI PUESTO DE BOLSA, S.A."
Otros activos,3373489.52,2022,2,"CCI PUESTO DE BOLSA, S.A."
TOTAL DE ACTIVOS,6108763913,2022,2,"CCI PUESTO DE BOLSA, S.A."
Pasivos financieros,252300470.1,2022,2,"CCI PUESTO DE BOLSA, S.A."
A valor razonable,102549745.1,2022,2,"CCI PUESTO DE BOLSA, S.A."
A valor razonable-instrumento financieros derivados,591502.67,2022,2,"CCI PUESTO DE BOLSA, S.A."
A costo amortizado,149159222.4,2022,2,"CCI PUESTO DE BOLSA, S.A."
Obligaciones por financiamiento,0,2022,2,"CCI PUESTO DE BOLSA, S.A."
Obligaciones por instrumentos financieros Emitidos,149145438.4,2022,2,"CCI PUESTO DE BOLSA, S.A."
Obligaciones con entidades de intermediación financiera,13784.01,2022,2,"CCI PUESTO DE BOLSA, S.A."
Operaciones de venta al contado con compra a plazo,4268568933,2022,2,"CCI PUESTO DE BOLSA, S.A."
Acreedores por intermediación,325132751.1,2022,2,"CCI PUESTO DE BOLSA, S.A."
Cuentas por pagar relacionadas,0,2022,2,"CCI PUESTO DE BOLSA, S.A."
Otras cuentas por pagar,306450.79,2022,2,"CCI PUESTO DE BOLSA, S.A."
Provisiones,1117666.67,2022,2,"CCI PUESTO DE BOLSA, S.A."
Acumulaciones y otras obligaciones,6891357.56,2022,2,"CCI PUESTO DE BOLSA, S.A."
Arrendamientos,0,2022,2,"CCI PUESTO DE BOLSA, S.A."
Impuesto por pagar,626835.05,2022,2,"CCI PUESTO DE BOLSA, S.A."
Impuesto diferidos,0,2022,2,"CCI PUESTO DE BOLSA, S.A."
Otros pasivos,0,2022,2,"CCI PUESTO DE BOLSA, S.A."
TOTAL DE PASIVOS,4854944464,2022,2,"CCI PUESTO DE BOLSA, S.A."
Capital,200000000,2022,2,"CCI PUESTO DE BOLSA, S.A."
Aportes para futura capitalización,0,2022,2,"CCI PUESTO DE BOLSA, S.A."
Acciones en Tesorería,0,2022,2,"CCI PUESTO DE BOLSA, S.A."
Reserva legal,40000000,2022,2,"CCI PUESTO DE BOLSA, S.A."
Reservas de capital,0,2022,2,"CCI PUESTO DE BOLSA, S.A."
Resultados acumulados,1000394383,2022,2,"CCI PUESTO DE BOLSA, S.A."
Resultados del ejercicio,13425065.81,2022,2,"CCI PUESTO DE BOLSA, S.A."
Superávit por revaluación,0,2022,2,"CCI PUESTO DE BOLSA, S.A."
Otro resultado integral,0,2022,2,"CCI PUESTO DE BOLSA, S.A."
TOTAL DE PATRIMONIO,1253819449,2022,2,"CCI PUESTO DE BOLSA, S.A."
TOTAL DE PASIVOS Y PATRIMONIO,6108763913,2022,2,"CCI PUESTO DE BOLSA, S.A."
A valor razonable,62784964.64,2022,2,"CCI PUESTO DE BOLSA, S.A."
A valor razonable - Instrumentos financieros derivados,16914611.9,2022,2,"CCI PUESTO DE BOLSA, S.A."
A costo amortizado,-28860017.11,2022,2,"CCI PUESTO DE BOLSA, S.A."
Total resultados por instrumentos financieros,50839559.43,2022,2,"CCI PUESTO DE BOLSA, S.A."
Ingresos por administración de cartera,0,2022,2,"CCI PUESTO DE BOLSA, S.A."
Ingresos por custodia de valores,765489.94,2022,2,"CCI PUESTO DE BOLSA, S.A."
Ingresos por asesorías financieras,120360.52,2022,2,"CCI PUESTO DE BOLSA, S.A."
Otros ingresos por servicios,0,2022,2,"CCI PUESTO DE BOLSA, S.A."
Total ingresos por servicios,885850.46,2022,2,"CCI PUESTO DE BOLSA, S.A."
Comisiones por operaciones bursátiles y extrabursátiles,2819815.39,2022,2,"CCI PUESTO DE BOLSA, S.A."
Gastos por comisiones y servicios,-5012345.49,2022,2,"CCI PUESTO DE BOLSA, S.A."
Otras comisiones,0,2022,2,"CCI PUESTO DE BOLSA, S.A."
Total resultados por intermediación,-2192530.1,2022,2,"CCI PUESTO DE BOLSA, S.A."
Gastos por financiamientos por Instrumentos financieros emitidos,-1538890.98,2022,2,"CCI PUESTO DE BOLSA, S.A."
Gastos por financiamientos con entidades de intermediación financiera,0,2022,2,"CCI PUESTO DE BOLSA, S.A."
Gastos por arrendamientos,0,2022,2,"CCI PUESTO DE BOLSA, S.A."
Total gastos financieros,-1538890.98,2022,2,"CCI PUESTO DE BOLSA, S.A."
Gastos de administración y comercialización,-27391894.24,2022,2,"CCI PUESTO DE BOLSA, S.A."
Reajuste y diferencia de cambio,-7245404.95,2022,2,"CCI PUESTO DE BOLSA, S.A."
Resultado de inversiones en sociedades,0,2022,2,"CCI PUESTO DE BOLSA, S.A."
Otros ingresos (gastos),68376.19,2022,2,"CCI PUESTO DE BOLSA, S.A."
Operaciones descontinuadas (neto),0,2022,2,"CCI PUESTO DE BOLSA, S.A."
Total otros resultados,-7177028.76,2022,2,"CCI PUESTO DE BOLSA, S.A."
Resultado antes de impuesto a la renta,13425065.81,2022,2,"CCI PUESTO DE BOLSA, S.A."
Impuesto sobre la renta,0,2022,2,"CCI PUESTO DE BOLSA, S.A."
UTILIDAD DEL EJERCICIO,13425065.81,2022,2,"CCI PUESTO DE BOLSA, S.A."
Efectivo y equivalente de efectivo,105922864.8,2022,2,"CITINVERSIONES DE TITULOS Y VALORES, S.A. PUESTO DE BOLSA"
Inversiones en instrumentos financieros,0,2022,2,"CITINVERSIONES DE TITULOS Y VALORES, S.A. PUESTO DE BOLSA"
A valor razonable con cambios en resultados,0,2022,2,"CITINVERSIONES DE TITULOS Y VALORES, S.A. PUESTO DE BOLSA"
A valor razonable Instrumentos Financieros Derivados,0,2022,2,"CITINVERSIONES DE TITULOS Y VALORES, S.A. PUESTO DE BOLSA"
A valor razonable con cambios en ORI,0,2022,2,"CITINVERSIONES DE TITULOS Y VALORES, S.A. PUESTO DE BOLSA"
A costo amortizado,0,2022,2,"CITINVERSIONES DE TITULOS Y VALORES, S.A. PUESTO DE BOLSA"
Operaciones de compra al contado con venta a plazos,0,2022,2,"CITINVERSIONES DE TITULOS Y VALORES, S.A. PUESTO DE BOLSA"
Cuentas por cobrar en operaciones de cartera propia,0,2022,2,"CITINVERSIONES DE TITULOS Y VALORES, S.A. PUESTO DE BOLSA"
Deudores por intermediación,17456537.43,2022,2,"CITINVERSIONES DE TITULOS Y VALORES, S.A. PUESTO DE BOLSA"
Cuentas por cobrar relacionadas,0,2022,2,"CITINVERSIONES DE TITULOS Y VALORES, S.A. PUESTO DE BOLSA"
Otras cuentas por cobrar,0,2022,2,"CITINVERSIONES DE TITULOS Y VALORES, S.A. PUESTO DE BOLSA"
Impuestos pagados por anticipado,3778888.31,2022,2,"CITINVERSIONES DE TITULOS Y VALORES, S.A. PUESTO DE BOLSA"
Impuestos diferidos,0,2022,2,"CITINVERSIONES DE TITULOS Y VALORES, S.A. PUESTO DE BOLSA"
Inversiones en sociedades,6311339,2022,2,"CITINVERSIONES DE TITULOS Y VALORES, S.A. PUESTO DE BOLSA"
Activos intangibles,0,2022,2,"CITINVERSIONES DE TITULOS Y VALORES, S.A. PUESTO DE BOLSA"
"Propiedad, planta y equipo",0,2022,2,"CITINVERSIONES DE TITULOS Y VALORES, S.A. PUESTO DE BOLSA"
Derecho de uso,0,2022,2,"CITINVERSIONES DE TITULOS Y VALORES, S.A. PUESTO DE BOLSA"
Propiedades de Inversión,0,2022,2,"CITINVERSIONES DE TITULOS Y VALORES, S.A. PUESTO DE BOLSA"
Otros activos,920422.75,2022,2,"CITINVERSIONES DE TITULOS Y VALORES, S.A. PUESTO DE BOLSA"
TOTAL DE ACTIVOS,134390052.3,2022,2,"CITINVERSIONES DE TITULOS Y VALORES, S.A. PUESTO DE BOLSA"
Pasivos financieros,0,2022,2,"CITINVERSIONES DE TITULOS Y VALORES, S.A. PUESTO DE BOLSA"
A valor razonable,0,2022,2,"CITINVERSIONES DE TITULOS Y VALORES, S.A. PUESTO DE BOLSA"
A valor razonable-instrumento financieros derivados,0,2022,2,"CITINVERSIONES DE TITULOS Y VALORES, S.A. PUESTO DE BOLSA"
A costo amortizado,0,2022,2,"CITINVERSIONES DE TITULOS Y VALORES, S.A. PUESTO DE BOLSA"
Obligaciones por financiamiento,0,2022,2,"CITINVERSIONES DE TITULOS Y VALORES, S.A. PUESTO DE BOLSA"
Obligaciones por instrumentos financieros Emitidos,0,2022,2,"CITINVERSIONES DE TITULOS Y VALORES, S.A. PUESTO DE BOLSA"
Obligaciones con entidades de intermediación financiera,0,2022,2,"CITINVERSIONES DE TITULOS Y VALORES, S.A. PUESTO DE BOLSA"
Operaciones de venta al contado con compra a plazo,0,2022,2,"CITINVERSIONES DE TITULOS Y VALORES, S.A. PUESTO DE BOLSA"
Acreedores por intermediación,0,2022,2,"CITINVERSIONES DE TITULOS Y VALORES, S.A. PUESTO DE BOLSA"
Cuentas por pagar relacionadas,0,2022,2,"CITINVERSIONES DE TITULOS Y VALORES, S.A. PUESTO DE BOLSA"
Otras cuentas por pagar,439124.11,2022,2,"CITINVERSIONES DE TITULOS Y VALORES, S.A. PUESTO DE BOLSA"
Provisiones,0,2022,2,"CITINVERSIONES DE TITULOS Y VALORES, S.A. PUESTO DE BOLSA"
Acumulaciones y otras obligaciones,2800439.69,2022,2,"CITINVERSIONES DE TITULOS Y VALORES, S.A. PUESTO DE BOLSA"
Arrendamientos,0,2022,2,"CITINVERSIONES DE TITULOS Y VALORES, S.A. PUESTO DE BOLSA"
Impuesto por pagar,94535.21,2022,2,"CITINVERSIONES DE TITULOS Y VALORES, S.A. PUESTO DE BOLSA"
Impuesto diferidos,0,2022,2,"CITINVERSIONES DE TITULOS Y VALORES, S.A. PUESTO DE BOLSA"
Otros pasivos,0,2022,2,"CITINVERSIONES DE TITULOS Y VALORES, S.A. PUESTO DE BOLSA"
TOTAL DE PASIVOS,3334099.01,2022,2,"CITINVERSIONES DE TITULOS Y VALORES, S.A. PUESTO DE BOLSA"
Capital,65000000,2022,2,"CITINVERSIONES DE TITULOS Y VALORES, S.A. PUESTO DE BOLSA"
Aportes para futura capitalización,0,2022,2,"CITINVERSIONES DE TITULOS Y VALORES, S.A. PUESTO DE BOLSA"
Acciones en Tesorería,0,2022,2,"CITINVERSIONES DE TITULOS Y VALORES, S.A. PUESTO DE BOLSA"
Reserva legal,13000000,2022,2,"CITINVERSIONES DE TITULOS Y VALORES, S.A. PUESTO DE BOLSA"
Reservas de capital,330467,2022,2,"CITINVERSIONES DE TITULOS Y VALORES, S.A. PUESTO DE BOLSA"
Resultados acumulados,49931568.38,2022,2,"CITINVERSIONES DE TITULOS Y VALORES, S.A. PUESTO DE BOLSA"
Resultados del ejercicio,2793917.87,2022,2,"CITINVERSIONES DE TITULOS Y VALORES, S.A. PUESTO DE BOLSA"
Superávit por revaluación,0,2022,2,"CITINVERSIONES DE TITULOS Y VALORES, S.A. PUESTO DE BOLSA"
Otro resultado integral,0,2022,2,"CITINVERSIONES DE TITULOS Y VALORES, S.A. PUESTO DE BOLSA"
TOTAL DE PATRIMONIO,131055953.3,2022,2,"CITINVERSIONES DE TITULOS Y VALORES, S.A. PUESTO DE BOLSA"
TOTAL DE PASIVOS Y PATRIMONIO,134390052.3,2022,2,"CITINVERSIONES DE TITULOS Y VALORES, S.A. PUESTO DE BOLSA"
A valor razonable,0,2022,2,"CITINVERSIONES DE TITULOS Y VALORES, S.A. PUESTO DE BOLSA"
A valor razonable - Instrumentos financieros derivados,0,2022,2,"CITINVERSIONES DE TITULOS Y VALORES, S.A. PUESTO DE BOLSA"
A costo amortizado,0,2022,2,"CITINVERSIONES DE TITULOS Y VALORES, S.A. PUESTO DE BOLSA"
Total resultados por instrumentos financieros,0,2022,2,"CITINVERSIONES DE TITULOS Y VALORES, S.A. PUESTO DE BOLSA"
Ingresos por administración de cartera,0,2022,2,"CITINVERSIONES DE TITULOS Y VALORES, S.A. PUESTO DE BOLSA"
Ingresos por custodia de valores,7105636.26,2022,2,"CITINVERSIONES DE TITULOS Y VALORES, S.A. PUESTO DE BOLSA"
Ingresos por asesorías financieras,0,2022,2,"CITINVERSIONES DE TITULOS Y VALORES, S.A. PUESTO DE BOLSA"
Otros ingresos por servicios,0,2022,2,"CITINVERSIONES DE TITULOS Y VALORES, S.A. PUESTO DE BOLSA"
Total ingresos por servicios,7105636.26,2022,2,"CITINVERSIONES DE TITULOS Y VALORES, S.A. PUESTO DE BOLSA"
Comisiones por operaciones bursátiles y extrabursátiles,3215740,2022,2,"CITINVERSIONES DE TITULOS Y VALORES, S.A. PUESTO DE BOLSA"
Gastos por comisiones y servicios,0,2022,2,"CITINVERSIONES DE TITULOS Y VALORES, S.A. PUESTO DE BOLSA"
Otras comisiones,0,2022,2,"CITINVERSIONES DE TITULOS Y VALORES, S.A. PUESTO DE BOLSA"
Total resultados por intermediación,3215740,2022,2,"CITINVERSIONES DE TITULOS Y VALORES, S.A. PUESTO DE BOLSA"
Gastos por financiamientos por Instrumentos financieros emitidos,0,2022,2,"CITINVERSIONES DE TITULOS Y VALORES, S.A. PUESTO DE BOLSA"
Gastos por financiamientos con entidades de intermediación financiera,-5425.66,2022,2,"CITINVERSIONES DE TITULOS Y VALORES, S.A. PUESTO DE BOLSA"
Gastos por arrendamientos,0,2022,2,"CITINVERSIONES DE TITULOS Y VALORES, S.A. PUESTO DE BOLSA"
Total gastos financieros,-5425.66,2022,2,"CITINVERSIONES DE TITULOS Y VALORES, S.A. PUESTO DE BOLSA"
Gastos de administración y comercialización,-9525291.07,2022,2,"CITINVERSIONES DE TITULOS Y VALORES, S.A. PUESTO DE BOLSA"
Reajuste y diferencia de cambio,0,2022,2,"CITINVERSIONES DE TITULOS Y VALORES, S.A. PUESTO DE BOLSA"
Resultado de inversiones en sociedades,0,2022,2,"CITINVERSIONES DE TITULOS Y VALORES, S.A. PUESTO DE BOLSA"
Otros ingresos (gastos),2003258.34,2022,2,"CITINVERSIONES DE TITULOS Y VALORES, S.A. PUESTO DE BOLSA"
Operaciones descontinuadas (neto),0,2022,2,"CITINVERSIONES DE TITULOS Y VALORES, S.A. PUESTO DE BOLSA"
Total otros resultados,2003258.34,2022,2,"CITINVERSIONES DE TITULOS Y VALORES, S.A. PUESTO DE BOLSA"
Resultado antes de impuesto a la renta,2793917.87,2022,2,"CITINVERSIONES DE TITULOS Y VALORES, S.A. PUESTO DE BOLSA"
Impuesto sobre la renta,0,2022,2,"CITINVERSIONES DE TITULOS Y VALORES, S.A. PUESTO DE BOLSA"
UTILIDAD DEL EJERCICIO,2793917.87,2022,2,"CITINVERSIONES DE TITULOS Y VALORES, S.A. PUESTO DE BOLSA"
Efectivo y equivalente de efectivo,639367100.3,2022,2,"EXCEL PUESTO DE BOLSA, S.A."
Inversiones en instrumentos financieros,4971363953,2022,2,"EXCEL PUESTO DE BOLSA, S.A."
A valor razonable con cambios en resultados,4971137441,2022,2,"EXCEL PUESTO DE BOLSA, S.A."
A valor razonable Instrumentos Financieros Derivados,226512.8,2022,2,"EXCEL PUESTO DE BOLSA, S.A."
A valor razonable con cambios en ORI,0,2022,2,"EXCEL PUESTO DE BOLSA, S.A."
A costo amortizado,0,2022,2,"EXCEL PUESTO DE BOLSA, S.A."
Operaciones de compra al contado con venta a plazos,0,2022,2,"EXCEL PUESTO DE BOLSA, S.A."
Cuentas por cobrar en operaciones de cartera propia,0,2022,2,"EXCEL PUESTO DE BOLSA, S.A."
Deudores por intermediación,0,2022,2,"EXCEL PUESTO DE BOLSA, S.A."
Cuentas por cobrar relacionadas,0,2022,2,"EXCEL PUESTO DE BOLSA, S.A."
Otras cuentas por cobrar,79665087.95,2022,2,"EXCEL PUESTO DE BOLSA, S.A."
Impuestos pagados por anticipado,0,2022,2,"EXCEL PUESTO DE BOLSA, S.A."
Impuestos diferidos,0,2022,2,"EXCEL PUESTO DE BOLSA, S.A."
Inversiones en sociedades,75895298.9,2022,2,"EXCEL PUESTO DE BOLSA, S.A."
Activos intangibles,5146214.19,2022,2,"EXCEL PUESTO DE BOLSA, S.A."
"Propiedad, planta y equipo",2605142.41,2022,2,"EXCEL PUESTO DE BOLSA, S.A."
Derecho de uso,0,2022,2,"EXCEL PUESTO DE BOLSA, S.A."
Propiedades de Inversión,0,2022,2,"EXCEL PUESTO DE BOLSA, S.A."
Otros activos,11936774.8,2022,2,"EXCEL PUESTO DE BOLSA, S.A."
TOTAL DE ACTIVOS,5785979572,2022,2,"EXCEL PUESTO DE BOLSA, S.A."
Pasivos financieros,950108752.6,2022,2,"EXCEL PUESTO DE BOLSA, S.A."
A valor razonable,948536.05,2022,2,"EXCEL PUESTO DE BOLSA, S.A."
A valor razonable-instrumento financieros derivados,711176.93,2022,2,"EXCEL PUESTO DE BOLSA, S.A."
A costo amortizado,948449039.6,2022,2,"EXCEL PUESTO DE BOLSA, S.A."
Obligaciones por financiamiento,0,2022,2,"EXCEL PUESTO DE BOLSA, S.A."
Obligaciones por instrumentos financieros Emitidos,0,2022,2,"EXCEL PUESTO DE BOLSA, S.A."
Obligaciones con entidades de intermediación financiera,948449039.6,2022,2,"EXCEL PUESTO DE BOLSA, S.A."
Operaciones de venta al contado con compra a plazo,4039529801,2022,2,"EXCEL PUESTO DE BOLSA, S.A."
Acreedores por intermediación,133393729,2022,2,"EXCEL PUESTO DE BOLSA, S.A."
Cuentas por pagar relacionadas,931403.19,2022,2,"EXCEL PUESTO DE BOLSA, S.A."
Otras cuentas por pagar,7848985.04,2022,2,"EXCEL PUESTO DE BOLSA, S.A."
Provisiones,0,2022,2,"EXCEL PUESTO DE BOLSA, S.A."
Acumulaciones y otras obligaciones,17303754.32,2022,2,"EXCEL PUESTO DE BOLSA, S.A."
Arrendamientos,0,2022,2,"EXCEL PUESTO DE BOLSA, S.A."
Impuesto por pagar,260000,2022,2,"EXCEL PUESTO DE BOLSA, S.A."
Impuesto diferidos,0,2022,2,"EXCEL PUESTO DE BOLSA, S.A."
Otros pasivos,0,2022,2,"EXCEL PUESTO DE BOLSA, S.A."
TOTAL DE PASIVOS,5149376425,2022,2,"EXCEL PUESTO DE BOLSA, S.A."
Capital,275000000,2022,2,"EXCEL PUESTO DE BOLSA, S.A."
Aportes para futura capitalización,0,2022,2,"EXCEL PUESTO DE BOLSA, S.A."
Acciones en Tesorería,0,2022,2,"EXCEL PUESTO DE BOLSA, S.A."
